GENERACION,POBLACION,MUTACION,CRUCE,max fit,mean fit,max fit,mean fit,max fit,mean fit,max fit,mean fit
100.0,100.0,0.4,0.7,557.0,414.10169999999994,566.0,412.24979999999994,549.0,389.49369999999993,562.0,442.98789999999985
100.0,100.0,0.4,0.8,557.0,444.6576000000001,566.0,436.87110000000007,549.0,425.0303,562.0,444.94929999999994
100.0,100.0,0.4,0.95,557.0,441.0464999999999,566.0,437.13680000000005,549.0,419.08639999999997,562.0,445.48650000000004
100.0,100.0,0.5,0.7,557.0,413.9465,566.0,413.3707999999999,549.0,396.25680000000006,562.0,415.737
100.0,100.0,0.5,0.8,557.0,415.33889999999997,566.0,411.2421,549.0,383.03189999999995,562.0,420.89470000000006
100.0,100.0,0.5,0.95,557.0,421.43659999999994,566.0,402.8961,549.0,392.49989999999997,562.0,419.6185
100.0,100.0,0.65,0.7,557.0,372.7584000000001,566.0,363.966,549.0,354.4906,562.0,374.1039
100.0,100.0,0.65,0.8,557.0,367.6415,566.0,369.44,561.0,349.24159999999995,562.0,371.1656
100.0,100.0,0.65,0.95,557.0,377.1407,566.0,345.88980000000004,561.0,362.1649,562.0,378.68000000000006
100.0,150.0,0.4,0.7,557.0,425.77166666666665,566.0,439.37786666666665,561.0,433.6632666666667,562.0,446.26426666666674
100.0,150.0,0.4,0.8,557.0,443.7143333333334,566.0,445.0809333333333,561.0,435.07360000000017,562.0,446.25333333333333
100.0,150.0,0.4,0.95,557.0,442.7491333333333,566.0,443.2937333333334,561.0,443.4150666666667,562.0,444.49159999999995
100.0,150.0,0.5,0.7,557.0,415.9740666666666,566.0,417.9937333333333,561.0,413.5453333333333,562.0,419.1251333333333
100.0,150.0,0.5,0.8,561.0,419.9919333333333,566.0,418.61839999999995,561.0,406.6046666666667,562.0,419.1818666666667
100.0,150.0,0.5,0.95,561.0,418.3516,566.0,413.45059999999995,561.0,413.4541333333334,562.0,417.0226666666667
100.0,150.0,0.65,0.7,561.0,383.5144666666667,566.0,360.7368,561.0,365.4809333333334,562.0,377.7072666666666
